Ano de lancamento,Classificacao,Genero,Nome,Plataforma
2014.0,1,6,Alien: Isolation,5
2008.0,99,5,High School Musical 2: Work This Out!,3
2005.0,2,8,The Incredible Hulk: Ultimate Destruction,19
2009.0,0,0,NBA 2K10,4
2007.0,99,4,Make 10: A Journey of Numbers,3
2012.0,99,8,Mobile Suit Gundam: Mokuba no Kiseki,16
2007.0,2,3,Alien Syndrome,16
2008.0,1,8,Grand Theft Auto: San Andreas,4
2009.0,99,0,The Biggest Loser,0
1981.0,99,6,River Raid,15
2005.0,0,0,World Soccer Winning Eleven 9,6
1991.0,99,4,Yoshi,1
2016.0,1,6,Call of Duty: Infinite Warfare,17
2012.0,3,5,Just Dance 4,5
1982.0,99,8,Halloween,15
2002.0,1,8,Grand Theft Auto III,14
2007.0,0,8,Ratatouille,8
2008.0,2,8,Secret Service,4
2005.0,2,9,The King of Fighters 02/03,6
2005.0,0,2,Ford Racing 3,3
2009.0,2,8,Tom Clancy's HAWX,14
2011.0,99,10,Amagami,16
2006.0,2,5,Guitar Hero II,6
2005.0,99,0,Jikkyou Powerful Pro Yakyuu 12,6
2013.0,1,6,Battlefield 4,9
2009.0,99,10,15 Days,14
2008.0,2,8,Star Wars: The Force Unleashed,5
2004.0,99,2,Crash City Mayhem,8
2005.0,0,1,Tak: The Great Juju Challenge,8
2012.0,0,2,F1 2012,14
2010.0,1,8,No More Heroes: Heroes' Paradise,5
2015.0,0,0,Rugby World Cup 2015,14
2015.0,0,0,NBA Live 16,9
2007.0,0,8,Kurupoto Cool Cool Stars,3
2009.0,0,7,Fast Food Panic,0
2005.0,0,0,Strike Force Bowling,19
2006.0,3,11,Age of Empires: The Age of Kings,3
1999.0,99,2,Vigilante 8: 2nd Offense,12
1992.0,99,11,Romance of the Three Kingdoms III: Dragon of Destiny,7
2003.0,99,3,Dungeons & Dragons Heroes,13
2006.0,2,9,Samurai Shodown V,13
2003.0,1,8,Resident Evil: Outbreak,6
0.0,0,0,Get Fit with Mel B,4
1998.0,99,2,Rogue Trip: Vacation 2012,12
1983.0,99,0,Baseball,1
0.0,2,7,Port Royale 3,5
2002.0,2,3,Breath of Fire: Dragon Quarter,6
1995.0,99,9,Blades of Blood: Samurai Shodown III,12
2005.0,2,3,Tales of Legendia,6
2003.0,1,8,Spy Fiction,6
2007.0,99,4,Diner Dash: Sizzle & Serve,16
2012.0,2,6,Unit 13,22
2007.0,0,0,NCAA Football 08,5
2002.0,0,2,Burnout,19
2004.0,0,2,Corvette,6
2008.0,99,0,Major League Baseball 2K8,0
2015.0,99,6,Call of Duty: Black Ops 3,17
2010.0,99,5,U-Sing  2,0
2003.0,0,7,Microsoft Flight Simulator 2004: A Century of Flight,14
2012.0,0,0,Pro Angler Moves,5
2005.0,0,8,Madagascar: Operation Penguin,8
2010.0,2,6,Tom Clancy's Ghost Recon,0
2007.0,99,5,Momotarou Dentetsu DS: Tokyo & Japan,3
2011.0,1,8,The Witcher 2: Assassins of Kings,14
2001.0,0,0,NHL Hitz 20-02,6
2003.0,99,3,Phantasy Star Online Episode I & II Plus,19
1996.0,99,2,Speed Racer,12
2006.0,2,5,SingStar Legends,6
2005.0,2,3,Monster Hunter Freedom,16
2004.0,99,2,TOCA Race Driver 2: Ultimate Racing Simulator,6
0.0,3,10,The Hidden,10
2012.0,99,3,Girls RPG: Cinderellife,10
2012.0,99,8,Elkrone no Atelier: Dear for Otomate,16
2007.0,0,7,AniMates!,3
1997.0,99,0,NBA Live 98,12
1996.0,99,3,Tail of the Sun,12
2002.0,0,0,NHL FaceOff 2003,6
2005.0,99,8,Beatdown: Fists of Vengeance,13
1996.0,99,0,NHL Powerplay '96,12
2002.0,1,9,Mortal Kombat: Deadly Alliance,8
2016.0,99,8,Sengoku Basara: Sanada Yukimura-Den,5
1997.0,99,9,War Gods,11
2011.0,1,6,Homefront,14
1995.0,99,6,In the Hunt,12
2009.0,0,10,Barbie and the Three Musketeers,0
2012.0,2,9,Tekken Tag Tournament 2,5
2003.0,2,11,Gladius,6
2007.0,99,9,Hokuto no Ken,6
2008.0,99,11,Tears to Tiara: Garland of the Earth,5
1999.0,99,2,Road Rash 64,11
2009.0,1,3,Dragon Age: Origins,5
2008.0,3,8,Insecticide,3
1996.0,99,9,Virtual Pro Wrestling,12
2011.0,99,11,Dora & Kai-Lan's Pet Shelter,3
2008.0,99,0,Backyard NFL Football '09,0
2009.0,99,10,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,3
2011.0,2,3,RIFT,14
2009.0,2,1,Mirror's Edge,14
2010.0,0,0,EA Sports Active 2,5
2015.0,0,1,Super Mario Maker,18
2008.0,3,5,Calvin Tucker's Redneck Jamboree,0
2005.0,99,5,Momotarou Dentetsu 15,6
2009.0,2,8,The Lord of the Rings: Conquest,4
2007.0,0,0,Smash Court Tennis 3,16
2007.0,99,11,Command & Conquer 3: Tiberium Wars,14
2015.0,99,8,Yowamushi Pedal,10
2010.0,2,5,Truth or Lies,0
2007.0,0,8,Ontamarama,3
2010.0,2,8,TRON: Evolution,5
2006.0,0,8,Superman Returns,3
2012.0,2,3,Atelier Ayesha: The Alchemist of Dusk,5
2011.0,1,8,The Cursed Crusade,5
2002.0,99,5,Dexter's Lab Chess Challenge,8
2016.0,99,10, Haikyu!! Cross Team Match!,10
2003.0,2,11,Robin Hood: Defender of the Crown,6
1994.0,99,9,Galaxy Fight,23
2005.0,0,2,WipEout Pure,16
2012.0,1,5,Steel Battalion: Heavy Armor,4
2007.0,2,9,Bleach: Dark Souls,3
1997.0,99,10,Moon,12
2015.0,2,7,The Sims 4: Get Together,14
2009.0,1,8,Tenchu: Shadow Assassins,16
1996.0,99,8,Resident Evil Director's Cut,12
2016.0,99,5,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,5
1999.0,99,8,MediEvil II,12
2004.0,0,2,NASCAR 2005: Chase for the Cup,6
2010.0,99,10,11eyes: CrossOver,16
2013.0,3,6,SpongeBob SquarePants: Plankton's Robotic Revenge,18
2013.0,3,8,Invizimals: The Alliance,22
2009.0,3,8,Ice Age: Dawn of the Dinosaurs,4
2010.0,99,7,Kawaii Koinu DS 3,3
2010.0,2,5,Truth or Lies,5
1991.0,99,8,Lord of Darkness,7
2009.0,99,10,Time Leap,4
2008.0,0,0,Madden NFL 09,16
2013.0,99,3,7th Dragon 2020-II,16
2015.0,99,0,WRC 5: FIA World Rally Championship,17
2012.0,99,9,Blazblue: Continuum Shift Extend,16
2011.0,0,5,Nickelodeon Dance,0
2008.0,2,8,Bully: Scholarship Edition,0
2002.0,0,6,Star X,8
2009.0,0,2,Dodge Racing: Charger vs Challenger,0
2000.0,0,1,Disney's The Emperor's New Groove,12
2012.0,1,3,Game of Thrones,5
2006.0,0,3,Pokemon Battle Revolution,0
2009.0,2,6,Raven Squad: Operation Hidden Dagger,14
2012.0,99,7,New Love Plus,10
2014.0,2,3,Omega Quintet,9
2015.0,3,8,LEGO Dimensions,17
2007.0,99,0,Power Pro Kun Pocket 10,3
2013.0,3,1,Sly Cooper: Thieves in Time,5
2009.0,0,0,Wii Sports Resort,0
2011.0,1,6,Duke Nukem Forever,4
2008.0,99,10,H2O+: Footprints in the Sand,6
2005.0,2,7,The Sims 2: University,14
2001.0,99,7,Doubutsu no Mori,11
2003.0,1,6,Red Faction II,19
2005.0,0,5,Brain Age: Train Your Brain in Minutes a Day,3
2002.0,0,1,Stuart Little 2,8
2012.0,99,7,Dream C Club,5
2009.0,3,8,The Lord of the Rings: Conquest,3
2001.0,0,0,ESPN Great Outdoor Games Bass 2002,8
2003.0,99,9,Black & Bruised,6
1998.0,99,11,Theme Hospital,12
2003.0,2,8,Chaos Legion,6
2015.0,3,3,Etrian Mystery Dungeon,10
2004.0,2,9,Digimon Rumble Arena 2,19
2009.0,2,3,Shin Megami Tensei: Devil Survivor,3
2006.0,0,4,Master of Illusion,3
2005.0,0,5,Dance Dance Revolution: Mario Mix,19
2014.0,2,8,World of Warcraft: Warlords of Draenor,14
2006.0,0,7,Innocent Life: A Futuristic Harvest Moon,16
2008.0,99,10,Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,3
2013.0,3,1,Sonic Lost World,18
2011.0,3,8,Green Lantern: Rise of the Manhunters,10
2011.0,99,0,FIFA 12,16
2007.0,2,6,SWAT: Target Liberty,16
2004.0,2,3,X-Men Legends,13
2015.0,0,8,Monster High: New Ghoul in School,5
1996.0,99,0,Super Famista 5,7
1992.0,99,8,The Legend of Zelda: Link's Awakening,2
2003.0,0,3,Harvest Moon: A Wonderful Life,19
2003.0,99,1,Scooby-Doo! Night of 100 Frights,13
2013.0,3,2,Need for Speed Rivals,9
2005.0,3,3,Ms Saga: A New Dawn,6
2011.0,2,6,Brink,5
2015.0,99,2,MotoGP 15,17
2004.0,0,5,World Championship Poker,6
2011.0,99,3,MonHun Nikki: Poka Poka Ailu Mura G,16
2008.0,0,7,Babysitting Mania,3
2014.0,0,2,F1 2014,14
1999.0,2,3,Valkyrie Profile,12
2007.0,0,8,Crash of the Titans,3
2007.0,99,5,Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,3
2009.0,2,11,War Leaders: Clash of Nations,14
2011.0,3,8,Skylanders: Spyro's Adventure,4
1997.0,99,9,Bloody Roar,12
2016.0,99,5,Utawarerumono: Futari no Hakuoro,22
1982.0,99,6,Yars' Revenge,15
2012.0,99,8,The Amazing Spider-Man (Console Version),3
2009.0,99,5,Dora the Explorer: Dora Puppy,3
2003.0,2,1,Samurai Jack: The Amulet of Time,8
1996.0,99,2,Twisted Metal 2,12
2014.0,3,0,NHL 15,9
2015.0,99,8,DmC: Devil May Cry,9
2009.0,3,8,Mini Ninjas,4
2011.0,2,5,Dreamcast Collection,4
2005.0,99,1,Scooby-Doo! Unmasked,6
2005.0,99,2,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,8
2010.0,0,8,Barbie: Groom and Glam Pups,3
2005.0,2,5,Golden Nugget Casino DS,3
2012.0,2,2,Ridge Racer Unbounded,14
2010.0,2,8,Iron Man 2,16
2015.0,99,8,Famicom Remix Best Choice,10
2009.0,3,4,Sudoku Ball Detective,0
2001.0,0,1,Disney's Tarzan Untamed,19
2004.0,0,5,Karaoke Revolution Volume 2,6
2001.0,0,8,Spider-Man: Mysterio's Menace,8
1995.0,99,1,Mega Man 7,7
2015.0,99,8,Wolfenstein: The Old Blood,17
2016.0,3,6,Plants vs. Zombies: Garden Warfare 2,9
2007.0,0,8,Bee Movie Game,4
2007.0,99,10,DEATH NOTE: L o Tsugu Mono,3
2008.0,99,5,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",6
2010.0,1,6,BioShock 2,5
2009.0,0,0,NBA 2K10,6
1999.0,0,2,Crash Team Racing,12
2005.0,1,8,Yakuza,6
2007.0,0,4,PopCap Arcade Vol 1,4
2010.0,99,0,Kevin Van Dam: Big Bass Challenge,0
2014.0,1,6,Sniper Elite 3,4
2006.0,0,0,NBA Live 07,13
2009.0,99,10,Suzumiya Haruhi no Heiretsu,0
2012.0,99,10,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,22
2006.0,99,10,Kamaitachi no Yoru 2: Tokubetsu Hen,16
2009.0,3,4,Professor Layton and the Last Specter,3
2011.0,1,6,Battlefield 3,4
2008.0,0,5,Reader Rabbit Kindergarten,3
1999.0,99,2,The Dukes of Hazzard: Racing for Home,12
1997.0,99,0,NBA In The Zone '98,11
2008.0,99,3,"What Did I Do to Deserve This, My Lord!? 2",16
2007.0,2,1,Spider-Man 3,4
2001.0,1,6,Max Payne,6
2016.0,2,10,Psycho-Pass: Mandatory Happiness,22
2004.0,1,6,Unreal Tournament 2004,14
1995.0,99,2,Road & Track Presents: The Need for Speed,12
2005.0,2,8,Stolen,6
1994.0,99,0,Derby Stallion II,7
2008.0,0,0,NFL Head Coach 09,5
2004.0,99,5,Nicktoons Collection: Game Boy Advance Video Volume 1,8
2005.0,2,7,The Sims 2,19
2008.0,99,11,"Warhammer 40,000: Dawn of War: Soulstorm",14
2016.0,0,5,Atari Flashback Classics: Volume 2,9
2009.0,99,10,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,16
2005.0,0,2,NASCAR 06: Total Team Control,6
2010.0,2,0,Bass Pro Shops: The Hunt,0
2011.0,99,2,Need for Speed: Shift 2 Unleashed,14
1999.0,99,0,Ken Griffey Jr.'s Slugfest,11
1998.0,99,11,Dragon Force II: Kamisarishi Daichi ni,23
2007.0,1,6,Clive Barker's Jericho,14
2009.0,2,9,WWE SmackDown vs. Raw 2010,4
2008.0,99,5,Barbie Fashion Show: An Eye for Style,3
1999.0,99,1,Rocket: Robot on Wheels,11
2013.0,1,8,Remember Me,14
2016.0,3,8,Lego Star Wars: The Force Awakens,22
1998.0,99,9,Deadly Arts,11
1982.0,99,8,Assault,15
0.0,1,6,Wet,4
2016.0,2,8,Batman: Return to Arkham,17
1999.0,99,3,Koudelka,12
2013.0,99,8,Gundam Breaker,5
2003.0,2,11,Worms 3D,13
2014.0,2,8,Terraria,9
2002.0,1,6,SOCOM: U.S. Navy SEALs,6
2010.0,1,8,Mafia II,4
1999.0,99,0,Super Bowling,11
1999.0,2,3,Final Fantasy VIII,12
2008.0,99,7,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,3
2004.0,99,8,Famicom Mini: Nazo no Murasame-Jou,8
2008.0,99,0,Pro Yakyuu Team o Tsukurou!,3
2009.0,3,5,LEGO Rock Band,5
1999.0,99,6,Tom Clancy's Rainbow Six,12
1995.0,99,2,Hi-Octane: The Track Fights Back!,12
2007.0,99,8,Yes! PreCure 5,3
2002.0,0,2,ATV: Quad Power Racing,8
2003.0,1,6,Judge Dredd: Dredd Vs Death,13
1995.0,99,4,Super Puyo Puyo 2,7
2002.0,2,11,Conflict Zone,6
1997.0,99,0,Jikkyou Powerful Pro Yakyuu 4,11
2006.0,0,1,Kirby Squeak Squad,3
2015.0,99,10,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,5
2007.0,3,4,Puzzle Quest: Challenge of the Warlords,3
2005.0,2,8,Ultimate Spider-Man,6
2007.0,2,9,Virtua Fighter 5 Online,4
1998.0,99,8,T'ai Fu: Wrath of the Tiger,12
2011.0,0,5,Wipeout 2,3
2005.0,0,5,Big Brain Academy,3
1999.0,99,5,California Speed,11
1982.0,99,8,Gravitar,15
2002.0,0,0,NCAA College Basketball 2K3,13
2012.0,99,3,Lost Heroes,16
2006.0,1,11,Company of Heroes,14
2002.0,2,6,Men in Black II: Alien Escape,6
2011.0,3,8,Marvel Super Hero Squad: Comic Combat,0
2012.0,1,9,Mortal Kombat,22
2010.0,1,8,Tom Clancy's Splinter Cell: Conviction,14
2013.0,2,8,Terraria,4
2016.0,99,8,Yokai Sangokushi,10
2009.0,99,0,"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",3
2008.0,1,8,Turok,5
2007.0,99,0,World Snooker Championship 2007,4
2005.0,2,8,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",13
1984.0,99,6,Hogan's Alley,1
2012.0,99,4,Curse of the Amsterdam Diamond,3
2009.0,99,9,Suggoi! Arcana Heart 2,6
2014.0,99,9,Guilty Gear Xrd: Sign,9
1995.0,99,0,Kanzen Chuuki Pro Yakyuu Greatest Nine,23
2013.0,3,3,Hometown Story,10
2005.0,0,2,ATV: Quad Frenzy,3
2008.0,0,5,Karaoke Revolution Presents American Idol Encore,4
2007.0,0,5,Rayman Raving Rabbids,3
2012.0,2,3,Time and Eternity,5
2014.0,99,10,The Walking Dead: Season Two,4
2007.0,2,10,One Piece: Unlimited Adventure,0
2009.0,0,0,MLB 2K9 Fantasy All-Stars,3
2002.0,2,6,Contra: Shattered Soldier,6
2011.0,3,8,Need for Speed: The Run,0
2011.0,3,11,Plants vs. Zombies,3
2001.0,0,0,Tony Hawk's Pro Skater 3,12
1995.0,99,3,Blazing Heroes,23
2007.0,99,8,Slide Adventure: Mag Kid,3
2008.0,0,7,Sally's Salon,3
2016.0,2,3,Odin Sphere: Leifthrasir,22
2006.0,99,2,Tourist Trophy: The Real Riding Simulator,6
1997.0,99,2,F1 Pole Position 64,11
2012.0,99,10,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,10
2004.0,2,2,FlatOut,13
2011.0,3,8,LEGO Pirates of the Caribbean: The Video Game,0
2010.0,1,6,Battlefield: Bad Company 2,5
1995.0,99,3,Wizardry VII: Gadeia no Houshu,12
2007.0,99,11,Yu-Gi-Oh! World Championship 2008,3
2008.0,0,4,Neopets Puzzle Adventure,3
2009.0,1,8,Brutal Legend,4
2009.0,1,8,Afro Samurai,4
2015.0,3,5,Just Dance 2016,17
2010.0,2,0,River City Super Sports Challenge,3
2015.0,3,8,Pokemon Rumble World,10
2002.0,0,0,NBA Starting Five,13
2010.0,2,0,Shaun White Skateboarding,5
2003.0,2,9,Naruto: Clash of Ninja 2,19
2003.0,0,0,NBA ShootOut 2004,6
2013.0,1,8,The Last of Us,5
2011.0,1,6,Dead Space 2,5
1997.0,2,3,Alundra,12
2012.0,1,3,Game of Thrones,14
2014.0,99,10,Hakuouki SSL: Sweet School Life,22
2013.0,1,8,Assassin's Creed IV: Black Flag,17
2015.0,0,8,Rugby League Live 3,17
1992.0,99,11,Syndicate,14
1982.0,99,2,Bump 'n' Jump,15
2010.0,99,0,PDC World Championship Darts: Pro Tour,0
2000.0,1,6,Silent Scope,6
2002.0,0,0,NFL Blitz 20-02,6
2005.0,1,6,Brothers In Arms: Earned in Blood,13
2002.0,99,2,Matchbox Cross Town Heroes,8
2008.0,99,10,Aoishiro,6
2001.0,2,6,Hidden Invasion,6
2015.0,2,3,Sword Art Online: Lost Song,9
2002.0,99,2,RalliSport Challenge(JP sales),13
2011.0,0,8,Chuck E. Cheese's Super Collection,0
2007.0,1,8,Beowulf: The Game,4
2014.0,2,2,The Crew,9
2003.0,99,8,Finding Nemo,6
2005.0,3,1,Shadow The Hedgehog,6
2009.0,1,6,S.T.A.L.K.E.R.: Call of Pripyat,14
2004.0,0,0,Backyard Baseball,6
1997.0,1,6,Half-Life,14
2009.0,99,10,Another Code R: A Journey into Lost Memories,0
2012.0,99,8,The Amazing Spider-Man (Console Version),10
2005.0,1,8,Beat Down: Fists of Vengeance,6
2006.0,99,5,Chuugaku Eitango Target 1800 DS,3
2004.0,2,5,MTV Music Generator 3: This Is the Remix,6
2008.0,99,5,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,3
2003.0,2,6,RTX Red Rock,6
2011.0,99,7,EyePet & Friends,5
2006.0,99,10,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,6
2005.0,0,2,ATV Offroad Fury: Blazin' Trails,16
2005.0,1,10,Geist,19
1998.0,99,9,Pocket Fighter,23
2011.0,99,5,We Sing Rock!,0
2003.0,2,6,Armed and Dangerous,13
2009.0,0,8,The Munchables,0
2009.0,2,2,DiRT 2,5
2005.0,3,8,The Incredibles: Rise of the Underminer,6
2011.0,0,0,Rugby World Cup 2011,5
2009.0,0,7,EyePet,5
2010.0,99,7,Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen,3
2011.0,99,10,Gakuen Hetalia Portable,16
2010.0,2,8,Gods Eater Burst,16
1995.0,99,3,Mystic Ark,7
1998.0,99,3,Guardian's Crusade,12
2001.0,99,7,A Ressha de Gyoukou 2001,6
2010.0,2,8,Prison Break: The Conspiracy,4
2014.0,3,8,Lego Batman 3: Beyond Gotham,9
2012.0,0,10,Journey,5
2012.0,99,8,Ore wa Shoujo Mangaka,16
2008.0,99,7,BeatMania IIDX 15: DJ Troopers,6
2007.0,3,7,SimCity Societies,14
2003.0,0,2,Need for Speed Underground,6
2013.0,3,1,PAC-MAN and the Ghostly Adventures,18
1981.0,99,8,Fireball,15
2010.0,99,10,Club Penguin: Elite Penguin Force - Herbert's Revenge,3
2012.0,1,9,Deadliest Warrior: Ancient Combat,5
2008.0,3,8,LEGO Indiana Jones: The Original Adventures,16
2009.0,2,5,Guitar Hero: Van Halen,4
2006.0,0,0,MLB 06: The Show,16
2008.0,2,10,Jack Keane,14
1997.0,99,8,AeroFighters Assault,11
2002.0,99,11,Super Robot Taisen Impact,6
2005.0,0,4,Break 'Em All,3
2016.0,2,8,Teenage Mutant Ninja Turtles: Mutants in Manhattan,4
2010.0,0,7,DanceDanceRevolution,0
2007.0,0,2,DiRT,5
2003.0,0,2,The Simpsons: Road Rage,8
1995.0,99,9,The King of Fighters '95,26
2003.0,0,5,Power Rangers: Ninja Storm,8
2012.0,0,0,Major League Baseball 2K12,5
2006.0,2,6,Battlefield 2: Modern Combat,4
2012.0,99,10,Robotics;Notes,5
1998.0,99,11,Houshinengi,12
2006.0,2,3,Ar tonelico: Melody of Elemia,6
2013.0,0,11,Angry Birds Star Wars,10
1995.0,99,4,Tetris Attack,7
2007.0,0,0,NCAA Football 08,4
1996.0,4,5,PaRappa The Rapper,12
2013.0,99,7,Zoo Tycoon (2013),4
2010.0,99,0,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,16
2009.0,3,11,Invizimals,16
2007.0,99,8,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",6
2009.0,2,11,Elite Forces: Unit 77,3
2005.0,2,6,Medal of Honor: European Assault,13
2006.0,99,10,GunParade Orchestra: Midori no Shou,6
2015.0,99,8,Otoko Yukaku,22
2008.0,2,4,USA Today Crossword Challenge,3
2015.0,99,10,Root Infinity Rexx,22
2006.0,0,0,Bode Miller Alpine Skiing,6
2002.0,2,7,Star Wars: Jedi Starfighter,6
2011.0,99,10,The Wolf Among Us,4
2009.0,2,0,Skate 2,4
2009.0,0,2,Super PickUps,0
2001.0,0,0,Shaun Palmer's Pro Snowboarder,6
2010.0,2,3,TRINITY: Souls of Zill O'll,5
2014.0,0,8,Sonic Boom: Shattered Crystal,10
1995.0,99,5,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,23
2002.0,2,9,Tekken 4,6
2008.0,99,10,Koisuru Otome to Shugo no Tate: The Shield of AIGIS,6
2001.0,99,1,Disney's Donald Duck Advance,8
0.0,0,10,Frogger's Adventures: Temple of the Frog,8
2008.0,99,6,Call of Duty: World at War Final Fronts,6
2003.0,0,1,Frogger's Adventures: The Rescue,6
2008.0,2,11,Tom Clancy's EndWar,5
2005.0,2,0,Splat Renegade Paintball,13
1999.0,99,3,Ogre Battle 64: Person of Lordly Caliber,11
2006.0,0,0,Madden NFL 07,13
2010.0,2,5,Guitar Hero: Warriors of Rock,0
1985.0,99,1,Ice Climber,1
2004.0,0,0,NFL Street 2,19
2009.0,2,7,Armored Core 3 Portable,16
2003.0,99,1,Spirits & Spells,8
2006.0,0,10,Neopets Petpet Adventures: The Wand of Wishing,16
0.0,99,0,Atsumare! Power Pro Kun no DS Koushien,3
2014.0,1,3,Risen 3: Titan Lords,14
1999.0,99,4,Ballistic,12
2015.0,99,8,Saenai Kanojo no Sodatekata: Blessing Flowers,22
2008.0,2,9,WWE SmackDown vs. Raw 2009,6
2006.0,2,0,Cabela's Dangerous Hunts: Ultimate Challenge,16
2003.0,2,8,The Great Escape,6
2012.0,99,3,Persona 2: Eternal Punishment,16
2011.0,99,9,Cartoon Network: Punch Time Explosion XL,0
2014.0,3,8,Lego Batman 3: Beyond Gotham,4
2005.0,0,4,Exit,16
2009.0,3,9,Marvel Super Hero Squad,3
2003.0,2,8,Aquaman: Battle for Atlantis,19
2007.0,0,0,NBA Street Homecourt,5
2004.0,99,0,ESPN MLB Baseball,13
2005.0,1,6,Doom 3,13
2002.0,99,1,Zapper: One Wicked Cricket!,6
0.0,0,2,Rayman Arena,13
2006.0,99,8,Kamiwaza,6
2006.0,2,8,Eragon,4
2007.0,99,11,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),6
2015.0,3,8,Skylanders: SuperChargers,5
1982.0,99,1,Mario Bros.,15
2004.0,0,5,Mario Pinball Land,8
2006.0,99,3,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,6
2011.0,99,7,Dream C Club Zero,4
2009.0,99,0,Summer Athletics 2009,4
2008.0,0,7,Littlest Pet Shop: Winter,3
2004.0,0,2,Ridge Racer DS,3
2013.0,99,7,Cooking Mama 5: Bon Appetit!,10
2004.0,1,6,Gungrave: Overdose,6
1999.0,99,9,WWF Attitude,11
2008.0,3,0,NHL 09,4
2008.0,99,7,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,3
2001.0,2,8,Dynasty Warriors 3,6
2002.0,2,2,Driven,19
2002.0,99,5,Game & Watch Gallery 4,8
2007.0,0,7,Flipper Critters,3
2008.0,0,0,MLB Power Pros 2008,6
2007.0,0,10,Barbie as The Island Princess,0
1997.0,99,11,Front Mission Alternative,12
2011.0,1,6,"Warhammer 40,000: Space Marine",14
2009.0,0,8,Ceville,14
1998.0,99,9,Shin Nippon Pro Wrestling: Toukon Retsuden 3,12
2008.0,0,11,Ultimate Card Games DS,3
2012.0,2,11,Tropico 4: Modern Times,14
2000.0,99,1,Tigger's Honey Hunt,12
2007.0,1,8,God of War II,6
2007.0,0,4,Jewel Quest: Expeditions,3
2005.0,0,1,Frogger: Ancient Shadow,6
2004.0,1,9,Fight Club,13
2013.0,99,10,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",16
2008.0,99,10,Heart no Kuni no Alice,6
2009.0,99,0,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,3
2003.0,99,0,Jikkyou Powerful Pro Yakyuu 10,6
