Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Grand Theft Auto V,6,2013.0,9,3,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,4,2,52.6
Grand Theft Auto: San Andreas,7,2004.0,9,3,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,4,2,52.0
Super Mario World,8,1990.0,2,1,12.78,3.75,3.54,0.55,20.61,0.0,0.0,0.0,0.0,0,0,0.0
Brain Age: Train Your Brain in Minutes a Day,4,2005.0,6,1,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,1,1,42.45
Pokemon Diamond/Pokemon Pearl,4,2006.0,4,1,6.38,4.46,6.04,1.36,18.25,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario Land,3,1989.0,2,1,10.83,2.71,4.18,0.42,18.14,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario Bros. 3,2,1988.0,2,1,9.54,3.44,3.84,0.46,17.28,0.0,0.0,0.0,0.0,0,0,0.0
Grand Theft Auto V,5,2013.0,9,3,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,4,2,52.55
Grand Theft Auto: Vice City,7,2002.0,9,3,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,4,2,51.85
Pokemon Ruby/Pokemon Sapphire,9,2002.0,4,1,6.06,3.9,5.38,0.5,15.85,0.0,0.0,0.0,0.0,0,0,0.0
Brain Age 2: More Training in Minutes a Day,4,2005.0,5,1,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,1,1,42.05
Pokemon Black/Pokemon White,4,2010.0,4,1,5.51,3.17,5.65,0.8,15.14,0.0,0.0,0.0,0.0,0,0,0.0
Gran Turismo 3: A-Spec,7,2001.0,3,4,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,5,1,51.7
Call of Duty: Modern Warfare 3,5,2011.0,7,5,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,6,2,45.7
Pokémon Yellow: Special Pikachu Edition,3,1998.0,4,1,5.89,5.04,3.12,0.59,14.64,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops 3,10,2015.0,7,5,6.03,5.86,0.36,2.38,14.63,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops,5,2010.0,7,5,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,7,2,46.65
Pokemon X/Pokemon Y,11,2013.0,4,1,5.28,4.19,4.35,0.78,14.6,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops II,6,2012.0,7,5,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,7,2,44.15
Call of Duty: Black Ops II,5,2012.0,7,5,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,7,2,43.9
Call of Duty: Modern Warfare 2,5,2009.0,7,5,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,8,2,50.15
Call of Duty: Modern Warfare 3,6,2011.0,7,5,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,6,2,45.6
Grand Theft Auto III,7,2001.0,9,3,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,9,2,52.75
Super Smash Bros. Brawl,1,2008.0,10,1,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,10,3,50.95
Mario Kart 7,11,2011.0,3,1,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,11,1,46.6
Call of Duty: Black Ops,6,2010.0,7,5,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,7,2,47.2
Grand Theft Auto V,10,2014.0,9,3,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,4,2,52.65
Animal Crossing: Wild World,4,2005.0,8,1,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,1,1,47.35
Halo 3,5,2007.0,7,2,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,12,2,50.9
Super Mario 64,12,1996.0,2,1,6.91,2.85,1.91,0.23,11.89,0.0,0.0,0.0,0.0,0,0,0.0
Pokemon HeartGold/Pokemon SoulSilver,4,2009.0,9,1,4.34,2.71,3.96,0.76,11.77,0.0,0.0,0.0,0.0,0,0,0.0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11,2014.0,4,1,4.35,3.49,3.1,0.74,11.68,0.0,0.0,0.0,0.0,0,0,0.0
Gran Turismo 4,7,2004.0,3,4,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,5,1,48.75
Super Mario Galaxy,1,2007.0,2,1,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,1,1,52.95
Super Mario Land 2: 6 Golden Coins,3,1992.0,11,1,6.16,2.04,2.69,0.29,11.18,0.0,0.0,0.0,0.0,0,0,0.0
Grand Theft Auto IV,5,2008.0,9,3,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,4,2,52.95
Gran Turismo,13,1997.0,3,4,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,5,1,52.35
Super Mario 3D Land,11,2011.0,2,1,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,1,1,49.2
Gran Turismo 5,6,2010.0,3,4,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,5,1,45.75
Call of Duty: Modern Warfare 2,6,2009.0,7,5,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,8,2,50.15
Super Mario All-Stars,8,1993.0,2,1,5.99,2.15,2.12,0.29,10.55,0.0,0.0,0.0,0.0,0,0,0.0
Grand Theft Auto IV,6,2008.0,9,3,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,4,2,52.75
Pokemon FireRed/Pokemon LeafGreen,9,2004.0,4,1,4.34,2.65,3.15,0.35,10.49,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario 64,4,2004.0,2,1,5.01,3.07,1.25,0.97,10.3,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Ghosts,5,2013.0,7,5,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,8,2,37.8
Just Dance 3,1,2011.0,6,6,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,13,4,40.9
New Super Mario Bros. 2,11,2012.0,2,1,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,1,1,42.6
Mario Kart 64,12,1996.0,3,1,5.55,1.94,2.23,0.15,9.87,0.0,0.0,0.0,0.0,0,0,0.0
Halo: Reach,5,2010.0,7,2,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,14,2,49.45
Final Fantasy VII,13,1997.0,4,4,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,15,3,50.6
Halo 4,5,2012.0,7,2,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,16,2,47.0
Gran Turismo 2,13,1999.0,3,4,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,5,3,51.0
Just Dance 2,1,2010.0,6,6,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,13,4,40.65
Call of Duty: Ghosts,6,2013.0,7,5,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,8,2,36.8
Call of Duty 4: Modern Warfare,5,2007.0,7,5,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,8,2,51.2
Donkey Kong Country,8,1994.0,2,1,4.36,1.71,3.0,0.23,9.3,0.0,0.0,0.0,0.0,0,0,0.0
Minecraft,5,2013.0,6,2,5.7,2.65,0.02,0.81,9.18,0.0,0.0,0.0,0.0,0,0,0.0
Animal Crossing: New Leaf,11,2012.0,8,1,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,1,1,48.35
Mario Party DS,4,2007.0,6,1,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,17,1,39.9
The Elder Scrolls V: Skyrim,5,2011.0,4,7,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,18,2,52.2
Super Mario Kart,8,1992.0,3,1,3.54,1.24,3.81,0.18,8.76,0.0,0.0,0.0,0.0,0,0,0.0
FIFA 16,10,2015.0,1,8,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,19,1,43.15
Halo 2,14,2004.0,7,2,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,20,2,51.6
Wii Party,1,2010.0,6,1,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,21,1,37.7
Mario Party 8,1,2007.0,6,1,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,22,1,34.15
FIFA Soccer 13,6,2012.0,9,8,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,23,1,47.3
GoldenEye 007,12,1997.0,7,1,5.8,2.01,0.13,0.15,8.09,0.0,0.0,0.0,0.0,0,0,0.0
Pokemon Black 2/Pokemon White 2,4,2012.0,4,1,2.79,1.72,3.14,0.41,8.07,0.0,0.0,0.0,0.0,0,0,0.0
Final Fantasy X,7,2001.0,4,4,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,15,3,50.35
The Sims 3,15,2009.0,8,8,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,24,3,46.8
Mario & Sonic at the Olympic Games,1,2007.0,1,9,2.57,3.86,0.66,0.91,7.99,0.0,0.0,0.0,0.0,0,0,0.0
Star Wars Battlefront (2015),10,2015.0,7,8,2.99,3.49,0.22,1.28,7.98,0.0,0.0,0.0,0.0,0,0,0.0
Final Fantasy VIII,13,1999.0,4,10,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,15,3,49.3
Pac-Man,16,1982.0,5,11,7.28,0.45,0.0,0.08,7.81,0.0,0.0,0.0,0.0,0,0,0.0
Pokémon Platinum Version,4,2008.0,4,1,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,25,1,45.75
Grand Theft Auto: Liberty City Stories,17,2005.0,9,3,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,26,2,47.8
Call of Duty: Advanced Warfare,10,2014.0,7,5,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,27,2,44.35
The Legend of Zelda: Ocarina of Time,12,1998.0,9,1,4.1,1.89,1.45,0.16,7.6,0.0,0.0,0.0,0.0,0,0,0.0
FIFA 17,10,2016.0,1,8,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,28,1,45.0
Crash Bandicoot 2: Cortex Strikes Back,13,1997.0,2,4,3.78,2.17,1.31,0.31,7.58,0.0,0.0,0.0,0.0,0,0,0.0
Super Smash Bros. for Wii U and 3DS,11,2014.0,10,1,3.27,1.37,2.43,0.48,7.55,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario Galaxy 2,1,2010.0,2,1,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,29,1,53.05
Super Mario Bros. 2,2,1988.0,2,1,5.39,1.18,0.7,0.19,7.46,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Black Ops 3,18,2015.0,7,5,4.59,2.11,0.01,0.68,7.39,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: World at War,5,2008.0,7,5,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,7,2,45.8
Battlefield 3,5,2011.0,7,8,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,30,2,45.7
Need for Speed Underground,7,2003.0,3,8,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,31,1,46.8
Just Dance,1,2009.0,6,6,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,32,4,28.5
Battlefield 3,6,2011.0,7,8,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,30,2,46.25
Fallout 4,10,2015.0,4,7,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,18,2,46.75
Tekken 3,13,1998.0,10,4,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,33,3,52.55
The Legend of Zelda: Twilight Princess,1,2006.0,9,1,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,1,3,52.0
Pokemon Sun/Moon,11,2016.0,4,1,2.98,1.45,2.26,0.45,7.14,0.0,0.0,0.0,0.0,0,0,0.0
Crash Bandicoot 3: Warped,13,1998.0,2,4,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,34,1,49.95
Mario Kart 8,19,2014.0,3,1,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,1,1,48.55
Super Smash Bros. Melee,20,2001.0,10,1,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,35,3,50.55
Mario Kart: Double Dash!!,20,2003.0,3,1,4.12,1.77,0.87,0.19,6.95,0.0,0.0,0.0,0.0,0,0,0.0
Need for Speed Underground 2,7,2004.0,3,8,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,36,1,45.3
Medal of Honor: Frontline,7,2002.0,7,8,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,37,3,48.25
Crash Bandicoot,13,1996.0,2,4,3.23,2.35,0.94,0.3,6.82,0.0,0.0,0.0,0.0,0,0,0.0
Just Dance 4,1,2012.0,6,6,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,13,4,40.65
Gears of War 2,5,2008.0,7,2,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,38,2,50.35
Uncharted 3: Drake's Deception,6,2011.0,9,4,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,34,3,50.15
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty 4: Modern Warfare,6,2007.0,7,5,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,8,2,51.2
Uncharted 2: Among Thieves,6,2009.0,9,4,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,34,3,52.4
FIFA 12,6,2011.0,1,8,0.84,4.3,0.11,1.39,6.65,0.0,0.0,0.0,0.0,0,0,0.0
Big Brain Academy,4,2005.0,6,1,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,1,1,40.7
The Legend of Zelda,2,1986.0,9,1,3.74,0.93,1.69,0.14,6.51,0.0,0.0,0.0,0.0,0,0,0.0
Red Dead Redemption,6,2010.0,9,3,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,40,2,51.9
FIFA 14,6,2013.0,1,8,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,36,1,45.15
Assassin's Creed III,6,2012.0,9,6,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,13,2,45.95
Donkey Kong Country Returns,1,2010.0,2,1,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,41,1,47.8
Halo: Combat Evolved,14,2001.0,7,2,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,20,2,52.8
The Elder Scrolls V: Skyrim,6,2011.0,4,7,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,18,2,49.2
Pokémon Emerald Version,9,2004.0,4,1,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,25,1,42.5
Kingdom Hearts,7,2002.0,4,4,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,15,1,46.9
Pokémon Crystal Version,3,2000.0,4,1,2.55,1.56,1.29,0.99,6.39,0.0,0.0,0.0,0.0,0,0,0.0
Halo 3: ODST,5,2009.0,7,2,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,12,2,45.05
Red Dead Redemption,5,2010.0,9,3,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,40,2,52.0
Super Mario Sunshine,20,2002.0,2,1,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,1,1,50.3
Street Fighter II: The World Warrior,8,1992.0,10,13,2.47,0.83,2.87,0.12,6.3,0.0,0.0,0.0,0.0,0,0,0.0
World of Warcraft,15,2004.0,4,5,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,42,3,50.15
Driver,13,1999.0,9,14,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,43,3,47.55
Gears of War 3,5,2011.0,7,2,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,38,2,49.4
Kinect Sports,5,2010.0,1,2,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,44,4,40.2
Gears of War,5,2006.0,7,2,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,38,2,51.15
FIFA 15,10,2014.0,1,8,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,19,1,43.85
Metal Gear Solid 2: Sons of Liberty,7,2001.0,9,15,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,45,2,52.35
Sonic the Hedgehog 2,21,1992.0,2,9,4.47,1.2,0.16,0.19,6.03,0.0,0.0,0.0,0.0,0,0,0.0
Metal Gear Solid,13,1998.0,9,15,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,45,2,51.7
Metal Gear Solid 4: Guns of the Patriots,6,2008.0,9,15,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,46,2,51.35
Final Fantasy XII,7,2006.0,4,16,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,47,3,49.8
The Last of Us,6,2013.0,9,17,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,34,2,52.05
LittleBigPlanet,6,2008.0,2,4,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,48,1,50.9
Resident Evil 2,13,1998.0,9,18,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,49,2,49.1
Dragon Quest IX: Sentinels of the Starry Skies,4,2009.0,4,1,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,50,4,47.9
Tekken 2,13,1996.0,10,4,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,33,3,48.95
Destiny,10,2014.0,7,5,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,12,3,41.05
LEGO Star Wars: The Complete Saga,1,2007.0,9,19,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,51,4,44.45
Cooking Mama,4,2006.0,8,12,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,52,1,37.1
Tetris,2,1988.0,5,1,2.97,0.69,1.81,0.11,5.58,0.0,0.0,0.0,0.0,0,0,0.0
Super Smash Bros.,12,1999.0,10,1,2.95,0.6,1.97,0.04,5.55,0.0,0.0,0.0,0.0,0,0,0.0
Assassin's Creed II,6,2009.0,9,6,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,53,2,49.8
Assassin's Creed,5,2007.0,11,6,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,53,2,44.35
Forza Motorsport 3,5,2009.0,3,2,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,54,1,50.0
Super Mario Advance,9,2001.0,2,1,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,1,1,45.9
Monster Hunter Freedom Unite,17,2008.0,4,13,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,49,3,44.85
Batman: Arkham City,6,2011.0,9,20,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,55,3,52.3
Grand Theft Auto V,18,2014.0,9,3,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,4,2,52.45
Mario Kart: Super Circuit,9,2001.0,3,1,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,56,1,50.65
Super Mario World,9,2001.0,2,1,3.21,1.11,0.95,0.2,5.46,0.0,0.0,0.0,0.0,0,0,0.0
Pokemon Stadium,12,1999.0,12,1,3.18,1.24,0.94,0.09,5.45,0.0,0.0,0.0,0.0,0,0,0.0
Crash Bandicoot: The Wrath of Cortex,7,2001.0,2,21,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,51,1,36.55
Call of Duty: World at War,6,2008.0,7,5,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,7,2,46.3
Uncharted 4: A Thief's End,10,2016.0,7,4,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,34,3,50.45
Dr. Mario,3,1989.0,5,1,2.18,0.96,2.0,0.2,5.34,0.0,0.0,0.0,0.0,0,0,0.0
Final Fantasy XIII,6,2009.0,4,16,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,47,3,45.15
Pokemon Pinball,3,1999.0,6,1,3.02,1.12,1.01,0.16,5.31,0.0,0.0,0.0,0.0,0,0,0.0
Final Fantasy IX,13,2000.0,4,10,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,15,3,51.45
Assassin's Creed III,5,2012.0,9,6,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,13,2,45.35
Final Fantasy X-2,7,2003.0,4,8,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,15,3,45.8
Donkey Kong 64,12,1999.0,2,1,3.33,0.79,1.09,0.06,5.27,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Advanced Warfare,18,2014.0,7,5,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,27,2,43.2
Minecraft,6,2014.0,6,4,2.03,2.37,0.0,0.87,5.26,0.0,0.0,0.0,0.0,0,0,0.0
Assassin's Creed II,5,2009.0,9,6,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,53,2,49.4
Tomb Raider II,13,1997.0,9,22,2.3,2.46,0.2,0.28,5.24,85.0,13.0,0.0,0.0,57,3,42.5
Madden NFL 2004,7,0.0,1,8,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,58,1,51.25
Tomodachi Life,11,2013.0,8,1,0.97,2.11,1.9,0.24,5.23,0.0,0.0,0.0,0.0,0,0,0.0
New Super Mario Bros. U,19,2012.0,2,1,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,1,1,46.05
Dragon Quest VIII: Journey of the Cursed King,7,2004.0,4,16,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,50,3,48.9
Super Mario Bros. 3,9,2003.0,2,1,2.93,1.25,0.83,0.2,5.2,0.0,0.0,0.0,0.0,0,0,0.0
Professor Layton and the Curious Village,4,2007.0,5,1,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,50,1,46.8
Super Mario Land 3: Wario Land,3,1994.0,2,1,2.49,0.98,1.57,0.15,5.19,0.0,0.0,0.0,0.0,0,0,0.0
FIFA Soccer 13,5,2012.0,9,8,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,23,1,48.05
Donkey Kong Country 2: Diddy's Kong Quest,8,1995.0,2,1,2.1,0.74,2.2,0.11,5.15,0.0,0.0,0.0,0.0,0,0,0.0
Diablo III,15,2012.0,4,5,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,42,2,46.0
Medal of Honor: Rising Sun,7,2003.0,7,8,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,37,3,37.8
Kirby's Dream Land,3,1992.0,2,1,2.71,0.61,1.7,0.11,5.13,0.0,0.0,0.0,0.0,0,0,0.0
Microsoft Flight Simulator,15,1996.0,8,2,3.22,1.69,0.0,0.2,5.12,0.0,0.0,0.0,0.0,0,0,0.0
Guitar Hero II,7,2006.0,6,23,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,59,3,50.25
Fable III,5,2010.0,4,2,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,60,2,43.25
Mario & Sonic at the Olympic Games,4,2008.0,1,9,1.63,2.45,0.44,0.57,5.09,0.0,0.0,0.0,0.0,0,0,0.0
Resident Evil 5,6,2009.0,9,13,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,49,2,45.75
The Legend of Zelda: Phantom Hourglass,4,2007.0,9,1,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,1,1,49.0
Super Mario Bros.,3,1999.0,2,1,3.4,1.3,0.15,0.22,5.07,0.0,0.0,0.0,0.0,0,0,0.0
FIFA Soccer 11,6,2010.0,1,8,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,19,1,48.5
Resident Evil,13,1996.0,9,18,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,49,2,50.0
